TotalCharges,Churn
-0.4040997229916897,No
0.1453813481071099,No
-0.38096398891966754,Yes
0.13097691597414593,No
-0.3681108033240997,Yes
-0.17048199445983378,Yes
0.16308033240997236,No
-0.3237156048014773,No
0.4871135734072023,Yes
0.6176842105263157,No
-0.23934256694367495,No
-0.3163582640812558,No
1.2657063711911358,No
1.0751837488457987,Yes
0.3807423822714682,No
1.9199039704524468,No
-0.11066297322252996,No
1.768354570637119,No
-0.2568051708217913,Yes
0.13752169898430291,No
-0.40120406278855025,Yes
-0.3531597414589104,No
-0.4069658356417359,Yes
0.6227516158818098,No
0.46473130193905826,No
0.03933518005540166,No
0.9903379501385041,Yes
-0.4039963065558633,Yes
1.4690969529085873,No
-0.08993536472760849,Yes
1.5865484764542936,No
-0.35924653739612183,No
0.14093444136657438,No
-0.40695106186518926,No
-0.3995493998153278,No
1.7297802400738689,No
-0.3192834718374884,Yes
0.635516158818098,No
0.6357968605724839,Yes
-0.08630101569713752,Yes
-0.2723619575253924,No
1.0267405355494,No
-0.28933702677747,No
1.0235198522622344,No
-0.12292520775623264,No
0.7414145891043398,No
-0.384258541089566,No
-0.37032686980609414,Yes
0.8333370267774701,No
0.8440627885503234,No
0.72133702677747,No
0.008546629732225353,Yes
0.10494552169898436,No
-0.2257950138504155,Yes
0.9038227146814406,No
0.10491597414589106,Yes
1.4518855032317637,No
1.6779686057248384,No
-0.1486759002770083,No
1.9076565096952909,No
0.9779132040627887,No
1.197628808864266,No
0.46227885503231764,No
-0.13012003693444132,No
-0.15962326869806093,Yes
-0.34079409048938136,No
0.6656694367497692,No
0.32494182825484763,No
-0.13786149584487534,No
-0.1507294552169898,No
-0.3984265927977839,No
-0.0906592797783933,No
1.6846611265004616,No
0.00801477377654663,No
-0.36050230840258535,No
1.401152354570637,No
0.3815697137580794,No
-0.2704265927977839,No
0.21091782086795946,No
-0.053444136657433056,No
-0.3894736842105263,Yes
-0.24587257617728528,No
-0.2660978762696214,Yes
0.8657506925207756,No
-0.12531855955678667,No
-0.14145152354570634,No
0.24169159741458907,No
-0.10060203139427513,No
-0.13898430286241917,No
-0.11471098799630652,No
0.34651154201292705,No
-0.39084764542936284,No
1.275501385041551,No
1.6870249307479224,No
1.7910470914127425,No
-0.13891043397968603,Yes
0.9902049861495844,No
-0.3792797783933518,Yes
-0.08576915974145886,No
0.33005355493998156,Yes
-0.40695106186518926,No
-0.4071726685133887,No
0.6524469067405355,No
0.48155863342566946,No
1.836195752539243,Yes
-0.38331301939058166,No
1.744952908587258,No
-0.13882179132040626,No
0.7457285318559558,No
-0.010112650046168025,No
1.1350470914127424,Yes
0.4859907663896584,No
0.7554201292705448,No
0.4345484764542937,Yes
0.5986408125577101,No
-0.3395235457063711,No
-0.08011080332409973,No
-0.09834164358264076,Yes
-0.16615327793167126,No
0.22282548476454295,No
1.2167608494921516,No
-0.37960480147737763,No
-0.3450932594644506,Yes
